ciudad,ocupacion,sexo,Hombres,Mujeres
BOGOTA,P. Administrativo.,primariaincompleta,0.4,0.4
BOGOTA,P. Administrativo.,primariacompleta,1.8,1.5
BOGOTA,P. Administrativo.,secundariaincompleta,7,5
BOGOTA,P. Administrativo.,secundariacompleta,28.6,20.1
BOGOTA,P. Administrativo.,superiorincompleta,42.9,49.6
BOGOTA,P. Administrativo.,superiorcompleta,19.4,23.4
BOGOTA,Profesionales y tecnicos,noinforma,0.2,0
BOGOTA,Profesionales y tecnicos,ninguno,0,0
BOGOTA,Profesionales y tecnicos,primariaincompleta,0.2,0
BOGOTA,Profesionales y tecnicos,primariacompleta,1.2,0.2
BOGOTA,Profesionales y tecnicos,secundariaincompleta,1.7,1
BOGOTA,Profesionales y tecnicos,secundariacompleta,6.7,4
BOGOTA,Profesionales y tecnicos,superiorincompleta,28.7,18.1
BOGOTA,Profesionales y tecnicos,superiorcompleta,61.3,76.6
BOGOTA,Trab Agropecuarios y forestales,noinforma,0,0
BOGOTA,Trab Agropecuarios y forestales,ninguno,3.8,0
BOGOTA,Trab Agropecuarios y forestales,primariaincompleta,23,0
BOGOTA,Trab Agropecuarios y forestales,primariacompleta,8.4,53.6
BOGOTA,Trab Agropecuarios y forestales,secundariaincompleta,21.9,0
BOGOTA,Trab Agropecuarios y forestales,secundariacompleta,24.3,46.4
BOGOTA,Trab Agropecuarios y forestales,superiorincompleta,3.6,0
BOGOTA,Trab Agropecuarios y forestales,superiorcompleta,15.1,0
BOGOTA,Trab de los servicios,noinforma,0,0
BOGOTA,Trab de los servicios,ninguno,0,1.8
BOGOTA,Trab de los servicios,primariaincompleta,4,10.8
BOGOTA,Trab de los servicios,primariacompleta,12.7,16
BOGOTA,Trab de los servicios,secundariaincompleta,21.5,24.9
BOGOTA,Trab de los servicios,secundariacompleta,41,23.3
BOGOTA,Trab de los servicios,superiorincompleta,16.6,20.5
BOGOTA,Trab de los servicios,superiorcompleta,4.3,2.7
BOGOTA,Trab/operad no agricolas,noinforma,0,0
BOGOTA,Trab/operad no agricolas,ninguno,1.6,0.3
BOGOTA,Trab/operad no agricolas,primariaincompleta,9.7,6.6
BOGOTA,Trab/operad no agricolas,primariacompleta,14.4,12.9
BOGOTA,Trab/operad no agricolas,secundariaincompleta,30.5,21.8
BOGOTA,Trab/operad no agricolas,secundariacompleta,30.5,37.3
BOGOTA,Trab/operad no agricolas,superiorincompleta,11.7,16.9
BOGOTA,Trab/operad no agricolas,superiorcompleta,1.5,4.1
BUCARAMANGA A.M.,Comerciantes y vendedores,noinforma,0,0
BUCARAMANGA A.M.,Comerciantes y vendedores,ninguno,1.8,0.8
BUCARAMANGA A.M.,Comerciantes y vendedores,primariaincompleta,10.1,9.1
BUCARAMANGA A.M.,Comerciantes y vendedores,primariacompleta,11.9,9.8
BUCARAMANGA A.M.,Comerciantes y vendedores,secundariaincompleta,11,14.9
BUCARAMANGA A.M.,Comerciantes y vendedores,secundariacompleta,31.6,31.9
BUCARAMANGA A.M.,Comerciantes y vendedores,superiorincompleta,25.6,24.1
BUCARAMANGA A.M.,Comerciantes y vendedores,superiorcompleta,8,9.4
BUCARAMANGA A.M.,Dir/func Publicos superiores,noinforma,0,0
BUCARAMANGA A.M.,Dir/func Publicos superiores,ninguno,0,0
BUCARAMANGA A.M.,Dir/func Publicos superiores,primariaincompleta,4.3,0
BUCARAMANGA A.M.,Dir/func Publicos superiores,primariacompleta,9.1,0
BUCARAMANGA A.M.,Dir/func Publicos superiores,secundariaincompleta,2.7,3.7
BUCARAMANGA A.M.,Dir/func Publicos superiores,secundariacompleta,17.4,11.2
BUCARAMANGA A.M.,Dir/func Publicos superiores,superiorincompleta,16.2,21.1
BUCARAMANGA A.M.,Dir/func Publicos superiores,superiorcompleta,50.3,64
BUCARAMANGA A.M.,No informa,noinforma,0,0
BUCARAMANGA A.M.,No informa,ninguno,0,0
BUCARAMANGA A.M.,No informa,primariaincompleta,21.4,20.7
BUCARAMANGA A.M.,No informa,primariacompleta,19.1,37
BUCARAMANGA A.M.,No informa,secundariaincompleta,13.1,7.4
BUCARAMANGA A.M.,No informa,secundariacompleta,46.4,35
BUCARAMANGA A.M.,No informa,superiorincompleta,0,0
BUCARAMANGA A.M.,No informa,superiorcompleta,0,0
BUCARAMANGA A.M.,P. Administrativo.,noinforma,0,0
BUCARAMANGA A.M.,P. Administrativo.,ninguno,0.6,0
BUCARAMANGA A.M.,P. Administrativo.,primariaincompleta,1.7,1.4
BUCARAMANGA A.M.,P. Administrativo.,primariacompleta,2.6,3.3
BUCARAMANGA A.M.,P. Administrativo.,secundariaincompleta,11.3,4.1
BUCARAMANGA A.M.,P. Administrativo.,secundariacompleta,40.3,25.8
BUCARAMANGA A.M.,P. Administrativo.,superiorincompleta,30.5,44.9
BUCARAMANGA A.M.,P. Administrativo.,superiorcompleta,13,20.5
BUCARAMANGA A.M.,Profesionales y tecnicos,noinforma,0,0
BUCARAMANGA A.M.,Profesionales y tecnicos,ninguno,0,0
BUCARAMANGA A.M.,Profesionales y tecnicos,primariaincompleta,0,0
BUCARAMANGA A.M.,Profesionales y tecnicos,primariacompleta,0.3,0
BUCARAMANGA A.M.,Profesionales y tecnicos,secundariaincompleta,2.2,0.5
BUCARAMANGA A.M.,Profesionales y tecnicos,secundariacompleta,6.4,3.2
BUCARAMANGA A.M.,Profesionales y tecnicos,superiorincompleta,31,20.1
BUCARAMANGA A.M.,Profesionales y tecnicos,superiorcompleta,60.1,76.3
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,noinforma,0,0
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,ninguno,3,0
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,primariaincompleta,27.6,0
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,primariacompleta,20.6,9.7
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,secundariaincompleta,9.5,22.1
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,secundariacompleta,25.1,20.1
