ciudad,ocupacion,sexo,Hombres,Mujeres
IBAGUE,Dir/func Publicos superiores,superiorcompleta,58.3,69.6
IBAGUE,No informa,noinforma,0,0
IBAGUE,No informa,ninguno,11.4,0
IBAGUE,No informa,primariaincompleta,16.4,22.7
IBAGUE,No informa,primariacompleta,19.3,0
IBAGUE,No informa,secundariaincompleta,39.6,34
IBAGUE,No informa,secundariacompleta,9.8,43
IBAGUE,No informa,superiorincompleta,3.5,0
IBAGUE,No informa,superiorcompleta,0,0
IBAGUE,P. Administrativo.,noinforma,0,0
IBAGUE,P. Administrativo.,ninguno,0,0
IBAGUE,P. Administrativo.,primariaincompleta,2.9,1.4
IBAGUE,P. Administrativo.,primariacompleta,1.9,3.2
IBAGUE,P. Administrativo.,secundariaincompleta,13.1,7
IBAGUE,P. Administrativo.,secundariacompleta,33.8,23.9
IBAGUE,P. Administrativo.,superiorincompleta,27.8,43.5
IBAGUE,P. Administrativo.,superiorcompleta,20.4,21.1
IBAGUE,Profesionales y tecnicos,noinforma,0,0
IBAGUE,Profesionales y tecnicos,ninguno,1.3,0
IBAGUE,Profesionales y tecnicos,primariaincompleta,0,0
IBAGUE,Profesionales y tecnicos,primariacompleta,1.9,0
IBAGUE,Profesionales y tecnicos,secundariaincompleta,2.5,0.3
IBAGUE,Profesionales y tecnicos,secundariacompleta,5.8,2.2
IBAGUE,Profesionales y tecnicos,superiorincompleta,32.4,13
IBAGUE,Profesionales y tecnicos,superiorcompleta,56.1,84.5
IBAGUE,Trab Agropecuarios y forestales,noinforma,0,0
IBAGUE,Trab Agropecuarios y forestales,ninguno,14.2,0
IBAGUE,Trab Agropecuarios y forestales,primariaincompleta,14.2,0
IBAGUE,Trab Agropecuarios y forestales,primariacompleta,21.7,0
IBAGUE,Trab Agropecuarios y forestales,secundariaincompleta,14.3,38.1
IBAGUE,Trab Agropecuarios y forestales,secundariacompleta,21.5,27.9
IBAGUE,Trab Agropecuarios y forestales,superiorincompleta,5.3,33.6
IBAGUE,Trab Agropecuarios y forestales,superiorcompleta,8.8,0
IBAGUE,Trab de los servicios,noinforma,0,0
IBAGUE,Trab de los servicios,ninguno,0,3.5
IBAGUE,Trab de los servicios,primariaincompleta,3.3,13.8
IBAGUE,Trab de los servicios,primariacompleta,12.5,16
IBAGUE,Trab de los servicios,secundariaincompleta,14.1,22.5
IBAGUE,Trab de los servicios,secundariacompleta,54.3,29.7
IBAGUE,Trab de los servicios,superiorincompleta,12.3,13.7
IBAGUE,Trab de los servicios,superiorcompleta,3.5,1
IBAGUE,Trab/operad no agricolas,noinforma,0,0
IBAGUE,Trab/operad no agricolas,ninguno,2,1.8
IBAGUE,Trab/operad no agricolas,primariaincompleta,10.8,7.7
IBAGUE,Trab/operad no agricolas,primariacompleta,16.7,19.6
IBAGUE,Trab/operad no agricolas,secundariaincompleta,23.1,29.3
IBAGUE,Trab/operad no agricolas,secundariacompleta,36.5,31.2
IBAGUE,Trab/operad no agricolas,superiorincompleta,8.8,7.9
IBAGUE,Trab/operad no agricolas,superiorcompleta,2.1,2.4
MANIZALES A.M.,Comerciantes y vendedores,noinforma,0,0
MANIZALES A.M.,Comerciantes y vendedores,ninguno,6.9,2.2
MANIZALES A.M.,Comerciantes y vendedores,primariaincompleta,9.5,7
MANIZALES A.M.,Comerciantes y vendedores,primariacompleta,12.1,6.7
MANIZALES A.M.,Comerciantes y vendedores,secundariaincompleta,17.1,15.5
MANIZALES A.M.,Comerciantes y vendedores,secundariacompleta,25.6,36.1
MANIZALES A.M.,Comerciantes y vendedores,superiorincompleta,17.5,23.3
MANIZALES A.M.,Comerciantes y vendedores,superiorcompleta,11.3,9.2
MANIZALES A.M.,Dir/func Publicos superiores,noinforma,0,0
MANIZALES A.M.,Dir/func Publicos superiores,ninguno,0,0
MANIZALES A.M.,Dir/func Publicos superiores,primariaincompleta,0,3.5
MANIZALES A.M.,Dir/func Publicos superiores,primariacompleta,3.2,2
MANIZALES A.M.,Dir/func Publicos superiores,secundariaincompleta,3.3,0
MANIZALES A.M.,Dir/func Publicos superiores,secundariacompleta,24.4,11.2
MANIZALES A.M.,Dir/func Publicos superiores,superiorincompleta,25.5,18.3
MANIZALES A.M.,Dir/func Publicos superiores,superiorcompleta,43.7,64.9
MANIZALES A.M.,No informa,noinforma,0,0
MANIZALES A.M.,No informa,ninguno,9.8,11.7
MANIZALES A.M.,No informa,primariaincompleta,22.1,13.4
MANIZALES A.M.,No informa,primariacompleta,23.7,0
MANIZALES A.M.,No informa,secundariaincompleta,33.2,21.1
MANIZALES A.M.,No informa,secundariacompleta,7.3,43.8
MANIZALES A.M.,No informa,superiorincompleta,4,9.9
MANIZALES A.M.,No informa,superiorcompleta,0,0
MANIZALES A.M.,P. Administrativo.,noinforma,0,0
MANIZALES A.M.,P. Administrativo.,ninguno,0,0
MANIZALES A.M.,P. Administrativo.,primariaincompleta,2.1,0.4
MANIZALES A.M.,P. Administrativo.,primariacompleta,2.9,1.7
MANIZALES A.M.,P. Administrativo.,secundariaincompleta,7.8,3
MANIZALES A.M.,P. Administrativo.,secundariacompleta,43.1,27.3
MANIZALES A.M.,P. Administrativo.,superiorincompleta,32.7,49.7
MANIZALES A.M.,P. Administrativo.,superiorcompleta,11.5,17.9
MANIZALES A.M.,Profesionales y tecnicos,noinforma,0,0
MANIZALES A.M.,Profesionales y tecnicos,ninguno,0,0
MANIZALES A.M.,Profesionales y tecnicos,primariaincompleta,0.4,0
MANIZALES A.M.,Profesionales y tecnicos,primariacompleta,0,0
MANIZALES A.M.,Profesionales y tecnicos,secundariaincompleta,1.5,0.9
MANIZALES A.M.,Profesionales y tecnicos,secundariacompleta,3.6,4.7
MANIZALES A.M.,Profesionales y tecnicos,superiorincompleta,26,19.9
MANIZALES A.M.,Profesionales y tecnicos,superiorcompleta,68.5,74.5
MANIZALES A.M.,Trab Agropecuarios y forestales,noinforma,0,0
MANIZALES A.M.,Trab Agropecuarios y forestales,ninguno,21.7,36.8
MANIZALES A.M.,Trab Agropecuarios y forestales,primariaincompleta,31.2,0
MANIZALES A.M.,Trab Agropecuarios y forestales,primariacompleta,17.2,0
MANIZALES A.M.,Trab Agropecuarios y forestales,secundariaincompleta,3.6,0
MANIZALES A.M.,Trab Agropecuarios y forestales,secundariacompleta,7.6,63.2
MANIZALES A.M.,Trab Agropecuarios y forestales,superiorincompleta,6.9,0
MANIZALES A.M.,Trab Agropecuarios y forestales,superiorcompleta,11.9,0
MANIZALES A.M.,Trab de los servicios,noinforma,0,0
MANIZALES A.M.,Trab de los servicios,ninguno,1.7,1.8
MANIZALES A.M.,Trab de los servicios,primariaincompleta,8,11.3
MANIZALES A.M.,Trab de los servicios,primariacompleta,6.3,15.8
MANIZALES A.M.,Trab de los servicios,secundariaincompleta,13.5,23.7
MANIZALES A.M.,Trab de los servicios,secundariacompleta,43.5,27
MANIZALES A.M.,Trab de los servicios,superiorincompleta,20.9,17.5
MANIZALES A.M.,Trab de los servicios,superiorcompleta,6.1,2.9
MANIZALES A.M.,Trab/operad no agricolas,noinforma,0,0
MANIZALES A.M.,Trab/operad no agricolas,ninguno,2.1,1.4
MANIZALES A.M.,Trab/operad no agricolas,primariaincompleta,9.6,4.9
MANIZALES A.M.,Trab/operad no agricolas,primariacompleta,12.9,7.9
MANIZALES A.M.,Trab/operad no agricolas,secundariaincompleta,23.3,20.1
MANIZALES A.M.,Trab/operad no agricolas,secundariacompleta,41,42.4
MANIZALES A.M.,Trab/operad no agricolas,superiorincompleta,8.7,18.1
MANIZALES A.M.,Trab/operad no agricolas,superiorcompleta,2.3,5.2
MEDELLIN A.M.,Comerciantes y vendedores,noinforma,0,0
MEDELLIN A.M.,Comerciantes y vendedores,ninguno,4,3.1
MEDELLIN A.M.,Comerciantes y vendedores,primariaincompleta,12.2,6.8
MEDELLIN A.M.,Comerciantes y vendedores,primariacompleta,11.5,9.3
MEDELLIN A.M.,Comerciantes y vendedores,secundariaincompleta,17.9,10.9
MEDELLIN A.M.,Comerciantes y vendedores,secundariacompleta,24,32.1
MEDELLIN A.M.,Comerciantes y vendedores,superiorincompleta,19.9,26.9
MEDELLIN A.M.,Comerciantes y vendedores,superiorcompleta,10.6,11
MEDELLIN A.M.,Dir/func Publicos superiores,noinforma,0,0
MEDELLIN A.M.,Dir/func Publicos superiores,ninguno,0,0
MEDELLIN A.M.,Dir/func Publicos superiores,primariaincompleta,0.8,0
MEDELLIN A.M.,Dir/func Publicos superiores,primariacompleta,1.4,1.4
MEDELLIN A.M.,Dir/func Publicos superiores,secundariaincompleta,5.6,5.4
MEDELLIN A.M.,Dir/func Publicos superiores,secundariacompleta,14.3,8.5
MEDELLIN A.M.,Dir/func Publicos superiores,superiorincompleta,12.7,23.8
MEDELLIN A.M.,Dir/func Publicos superiores,superiorcompleta,65.2,60.9
MEDELLIN A.M.,No informa,noinforma,0,0
MEDELLIN A.M.,No informa,ninguno,2.3,0
MEDELLIN A.M.,No informa,primariaincompleta,28.4,28.7
MEDELLIN A.M.,No informa,primariacompleta,7.2,21.1
MEDELLIN A.M.,No informa,secundariaincompleta,37.3,50.3
MEDELLIN A.M.,No informa,secundariacompleta,22.6,0
MEDELLIN A.M.,No informa,superiorincompleta,2.1,0
MEDELLIN A.M.,No informa,superiorcompleta,0,0
MEDELLIN A.M.,P. Administrativo.,noinforma,0,0
MEDELLIN A.M.,P. Administrativo.,ninguno,0.3,0.2
MEDELLIN A.M.,P. Administrativo.,primariaincompleta,2.6,0.9
MEDELLIN A.M.,P. Administrativo.,primariacompleta,5.1,0.6
MEDELLIN A.M.,P. Administrativo.,secundariaincompleta,10.2,3.2
MEDELLIN A.M.,P. Administrativo.,secundariacompleta,34.4,22.7
MEDELLIN A.M.,P. Administrativo.,superiorincompleta,35.7,57
MEDELLIN A.M.,P. Administrativo.,superiorcompleta,11.8,15.4
MEDELLIN A.M.,Profesionales y tecnicos,noinforma,0,0
MEDELLIN A.M.,Profesionales y tecnicos,ninguno,0,0
MEDELLIN A.M.,Profesionales y tecnicos,primariaincompleta,0.4,0
MEDELLIN A.M.,Profesionales y tecnicos,primariacompleta,0.9,0
MEDELLIN A.M.,Profesionales y tecnicos,secundariaincompleta,2.3,0.8
MEDELLIN A.M.,Profesionales y tecnicos,secundariacompleta,8.9,3.5
MEDELLIN A.M.,Profesionales y tecnicos,superiorincompleta,27.2,20.2
MEDELLIN A.M.,Profesionales y tecnicos,superiorcompleta,60.2,75.6
MEDELLIN A.M.,Trab Agropecuarios y forestales,noinforma,0,0
MEDELLIN A.M.,Trab Agropecuarios y forestales,ninguno,21.7,0
MEDELLIN A.M.,Trab Agropecuarios y forestales,primariaincompleta,14.6,0
MEDELLIN A.M.,Trab Agropecuarios y forestales,primariacompleta,6.9,13.2
MEDELLIN A.M.,Trab Agropecuarios y forestales,secundariaincompleta,10.4,28.4
MEDELLIN A.M.,Trab Agropecuarios y forestales,secundariacompleta,18.8,40.9
MEDELLIN A.M.,Trab Agropecuarios y forestales,superiorincompleta,0,17.5
MEDELLIN A.M.,Trab Agropecuarios y forestales,superiorcompleta,27.5,0
MEDELLIN A.M.,Trab de los servicios,noinforma,0,0
MEDELLIN A.M.,Trab de los servicios,ninguno,2.9,1.9
MEDELLIN A.M.,Trab de los servicios,primariaincompleta,4.4,10.1
MEDELLIN A.M.,Trab de los servicios,primariacompleta,9.7,19.1
MEDELLIN A.M.,Trab de los servicios,secundariaincompleta,18.7,23.1
MEDELLIN A.M.,Trab de los servicios,secundariacompleta,47.9,27.2
MEDELLIN A.M.,Trab de los servicios,superiorincompleta,14.3,16.2
MEDELLIN A.M.,Trab de los servicios,superiorcompleta,2.1,2.4
MEDELLIN A.M.,Trab/operad no agricolas,noinforma,0,0
MEDELLIN A.M.,Trab/operad no agricolas,ninguno,2.4,2.2
MEDELLIN A.M.,Trab/operad no agricolas,primariaincompleta,11.8,7.5
MEDELLIN A.M.,Trab/operad no agricolas,primariacompleta,17.7,12.7
MEDELLIN A.M.,Trab/operad no agricolas,secundariaincompleta,27.8,28
MEDELLIN A.M.,Trab/operad no agricolas,secundariacompleta,29.5,37.1
MEDELLIN A.M.,Trab/operad no agricolas,superiorincompleta,9.1,10.1
MEDELLIN A.M.,Trab/operad no agricolas,superiorcompleta,1.6,2.4
MONTERIA,Comerciantes y vendedores,noinforma,0,0
MONTERIA,Comerciantes y vendedores,ninguno,6.7,2.5
MONTERIA,Comerciantes y vendedores,primariaincompleta,6.9,5.4
MONTERIA,Comerciantes y vendedores,primariacompleta,13,6
MONTERIA,Comerciantes y vendedores,secundariaincompleta,18,13.6
MONTERIA,Comerciantes y vendedores,secundariacompleta,31.9,37
MONTERIA,Comerciantes y vendedores,superiorincompleta,19.2,27.3
MONTERIA,Comerciantes y vendedores,superiorcompleta,4.3,8.2
MONTERIA,Dir/func Publicos superiores,noinforma,0,0
MONTERIA,Dir/func Publicos superiores,ninguno,0,0
MONTERIA,Dir/func Publicos superiores,primariaincompleta,2.3,0
MONTERIA,Dir/func Publicos superiores,primariacompleta,13.3,9.8
MONTERIA,Dir/func Publicos superiores,secundariaincompleta,2.4,8.5
MONTERIA,Dir/func Publicos superiores,secundariacompleta,10.3,13.4
MONTERIA,Dir/func Publicos superiores,superiorincompleta,19.4,17.5
MONTERIA,Dir/func Publicos superiores,superiorcompleta,52.3,50.8
MONTERIA,No informa,noinforma,0,0
MONTERIA,No informa,ninguno,8.8,0
MONTERIA,No informa,primariaincompleta,19.2,0
MONTERIA,No informa,primariacompleta,16.9,0
MONTERIA,No informa,secundariaincompleta,36.7,0
MONTERIA,No informa,secundariacompleta,9.9,100
MONTERIA,No informa,superiorincompleta,8.5,0
MONTERIA,No informa,superiorcompleta,0,0
MONTERIA,P. Administrativo.,noinforma,0,0
MONTERIA,P. Administrativo.,ninguno,0,0
MONTERIA,P. Administrativo.,primariaincompleta,2.8,1.3
MONTERIA,P. Administrativo.,primariacompleta,4.4,0.7
MONTERIA,P. Administrativo.,secundariaincompleta,18.2,3.3
MONTERIA,P. Administrativo.,secundariacompleta,40.3,19.1
MONTERIA,P. Administrativo.,superiorincompleta,29.2,57.6
MONTERIA,P. Administrativo.,superiorcompleta,5.1,18
MONTERIA,Profesionales y tecnicos,noinforma,0,0
MONTERIA,Profesionales y tecnicos,ninguno,0,0
MONTERIA,Profesionales y tecnicos,primariaincompleta,0.4,0
MONTERIA,Profesionales y tecnicos,primariacompleta,2,0.5
MONTERIA,Profesionales y tecnicos,secundariaincompleta,3,0
MONTERIA,Profesionales y tecnicos,secundariacompleta,4.7,3
MONTERIA,Profesionales y tecnicos,superiorincompleta,21.6,26.6
MONTERIA,Profesionales y tecnicos,superiorcompleta,68.2,69.9
MONTERIA,Trab Agropecuarios y forestales,noinforma,0,0
MONTERIA,Trab Agropecuarios y forestales,ninguno,14.4,0
MONTERIA,Trab Agropecuarios y forestales,primariaincompleta,12.9,0
MONTERIA,Trab Agropecuarios y forestales,primariacompleta,11.6,0
MONTERIA,Trab Agropecuarios y forestales,secundariaincompleta,18.1,0
MONTERIA,Trab Agropecuarios y forestales,secundariacompleta,31.4,100
MONTERIA,Trab Agropecuarios y forestales,superiorincompleta,0,0
MONTERIA,Trab Agropecuarios y forestales,superiorcompleta,11.6,0
MONTERIA,Trab de los servicios,noinforma,0,0
MONTERIA,Trab de los servicios,ninguno,2.4,5.4
MONTERIA,Trab de los servicios,primariaincompleta,6.6,11.1
MONTERIA,Trab de los servicios,primariacompleta,11.4,12.8
MONTERIA,Trab de los servicios,secundariaincompleta,15.2,18.8
MONTERIA,Trab de los servicios,secundariacompleta,47.2,27.3
MONTERIA,Trab de los servicios,superiorincompleta,15.2,22.5
MONTERIA,Trab de los servicios,superiorcompleta,2.1,2.1
MONTERIA,Trab/operad no agricolas,noinforma,0,0
MONTERIA,Trab/operad no agricolas,ninguno,2.9,3.5
MONTERIA,Trab/operad no agricolas,primariaincompleta,10,16.5
MONTERIA,Trab/operad no agricolas,primariacompleta,16.4,17.9
MONTERIA,Trab/operad no agricolas,secundariaincompleta,28.5,16.1
MONTERIA,Trab/operad no agricolas,secundariacompleta,32.9,31
MONTERIA,Trab/operad no agricolas,superiorincompleta,8.7,11.2
MONTERIA,Trab/operad no agricolas,superiorcompleta,0.6,3.8
PASTO,Comerciantes y vendedores,noinforma,0,0
PASTO,Comerciantes y vendedores,ninguno,2.3,1.7
PASTO,Comerciantes y vendedores,primariaincompleta,9.1,13.6
PASTO,Comerciantes y vendedores,primariacompleta,12.7,12.3
PASTO,Comerciantes y vendedores,secundariaincompleta,14.8,11.3
PASTO,Comerciantes y vendedores,secundariacompleta,29.8,39.7
PASTO,Comerciantes y vendedores,superiorincompleta,20.8,13.3
PASTO,Comerciantes y vendedores,superiorcompleta,10.4,8.1
PASTO,Dir/func Publicos superiores,noinforma,0,0
PASTO,Dir/func Publicos superiores,ninguno,0,0
PASTO,Dir/func Publicos superiores,primariaincompleta,3.2,4.8
PASTO,Dir/func Publicos superiores,primariacompleta,2.1,4.4
PASTO,Dir/func Publicos superiores,secundariaincompleta,7.2,4.6
PASTO,Dir/func Publicos superiores,secundariacompleta,18.9,3
PASTO,Dir/func Publicos superiores,superiorincompleta,16.3,20.9
PASTO,Dir/func Publicos superiores,superiorcompleta,52.3,62.3
PASTO,No informa,noinforma,0,0
PASTO,No informa,ninguno,10.9,8.1
PASTO,No informa,primariaincompleta,19.5,7
PASTO,No informa,primariacompleta,27.3,40.4
PASTO,No informa,secundariaincompleta,36.5,32.5
PASTO,No informa,secundariacompleta,5.9,12
PASTO,No informa,superiorincompleta,0,0
PASTO,No informa,superiorcompleta,0,0
PASTO,P. Administrativo.,noinforma,0,0
PASTO,P. Administrativo.,ninguno,0,0.5
PASTO,P. Administrativo.,primariaincompleta,1.5,1.5
PASTO,P. Administrativo.,primariacompleta,3.5,3.3
PASTO,P. Administrativo.,secundariaincompleta,5.1,3.9
PASTO,P. Administrativo.,secundariacompleta,30.3,23.3
PASTO,P. Administrativo.,superiorincompleta,33.2,39.5
PASTO,P. Administrativo.,superiorcompleta,26.4,28
PASTO,Profesionales y tecnicos,noinforma,0,0
PASTO,Profesionales y tecnicos,ninguno,0.6,0
PASTO,Profesionales y tecnicos,primariaincompleta,0,0
PASTO,Profesionales y tecnicos,primariacompleta,0.4,0.6
PASTO,Profesionales y tecnicos,secundariaincompleta,1,0.4
PASTO,Profesionales y tecnicos,secundariacompleta,5.5,3.3
PASTO,Profesionales y tecnicos,superiorincompleta,30,15.4
PASTO,Profesionales y tecnicos,superiorcompleta,62.5,80.3
PASTO,Trab Agropecuarios y forestales,noinforma,0,0
PASTO,Trab Agropecuarios y forestales,ninguno,0,0
PASTO,Trab Agropecuarios y forestales,primariaincompleta,15.7,35.6
PASTO,Trab Agropecuarios y forestales,primariacompleta,5.4,0
PASTO,Trab Agropecuarios y forestales,secundariaincompleta,34.4,20.9
PASTO,Trab Agropecuarios y forestales,secundariacompleta,40.7,14.9
PASTO,Trab Agropecuarios y forestales,superiorincompleta,0,18.3
PASTO,Trab Agropecuarios y forestales,superiorcompleta,3.7,10.6
PASTO,Trab de los servicios,noinforma,0,0
PASTO,Trab de los servicios,ninguno,0.9,3
PASTO,Trab de los servicios,primariaincompleta,8.1,19.8
PASTO,Trab de los servicios,primariacompleta,13,17.3
PASTO,Trab de los servicios,secundariaincompleta,11.4,15.5
PASTO,Trab de los servicios,secundariacompleta,37.8,29.7
PASTO,Trab de los servicios,superiorincompleta,26.5,13.1
PASTO,Trab de los servicios,superiorcompleta,2.4,1.6
PASTO,Trab/operad no agricolas,noinforma,0,0
PASTO,Trab/operad no agricolas,ninguno,1.2,1.6
PASTO,Trab/operad no agricolas,primariaincompleta,15,18.1
PASTO,Trab/operad no agricolas,primariacompleta,20.5,22.5
PASTO,Trab/operad no agricolas,secundariaincompleta,24.6,17.7
PASTO,Trab/operad no agricolas,secundariacompleta,30.9,30.5
PASTO,Trab/operad no agricolas,superiorincompleta,7.4,8
PASTO,Trab/operad no agricolas,superiorcompleta,0.5,1.8
PEREIRA A.M.,Comerciantes y vendedores,noinforma,0,0
PEREIRA A.M.,Comerciantes y vendedores,ninguno,2.1,1.8
PEREIRA A.M.,Comerciantes y vendedores,primariaincompleta,13.2,5.1
PEREIRA A.M.,Comerciantes y vendedores,primariacompleta,14.2,9.4
PEREIRA A.M.,Comerciantes y vendedores,secundariaincompleta,19.1,19.3
PEREIRA A.M.,Comerciantes y vendedores,secundariacompleta,28.1,39
PEREIRA A.M.,Comerciantes y vendedores,superiorincompleta,14.4,20.2
PEREIRA A.M.,Comerciantes y vendedores,superiorcompleta,8.9,5.3
PEREIRA A.M.,Dir/func Publicos superiores,noinforma,0,0
PEREIRA A.M.,Dir/func Publicos superiores,ninguno,0,2.3
PEREIRA A.M.,Dir/func Publicos superiores,primariaincompleta,5.3,2.4
PEREIRA A.M.,Dir/func Publicos superiores,primariacompleta,4.8,5.3
PEREIRA A.M.,Dir/func Publicos superiores,secundariaincompleta,8.5,0
PEREIRA A.M.,Dir/func Publicos superiores,secundariacompleta,31.8,17.4
PEREIRA A.M.,Dir/func Publicos superiores,superiorincompleta,9.9,10.9
PEREIRA A.M.,Dir/func Publicos superiores,superiorcompleta,39.7,61.6
PEREIRA A.M.,No informa,noinforma,0,0
PEREIRA A.M.,No informa,ninguno,4.5,0
PEREIRA A.M.,No informa,primariaincompleta,23.6,0
PEREIRA A.M.,No informa,primariacompleta,24.9,100
PEREIRA A.M.,No informa,secundariaincompleta,22.6,0
PEREIRA A.M.,No informa,secundariacompleta,18.1,0
PEREIRA A.M.,No informa,superiorincompleta,6.2,0
PEREIRA A.M.,No informa,superiorcompleta,0,0
PEREIRA A.M.,P. Administrativo.,noinforma,0,0
PEREIRA A.M.,P. Administrativo.,ninguno,0,0.5
PEREIRA A.M.,P. Administrativo.,primariaincompleta,3.2,1.1
PEREIRA A.M.,P. Administrativo.,primariacompleta,6.5,2
PEREIRA A.M.,P. Administrativo.,secundariaincompleta,11.6,6.1
PEREIRA A.M.,P. Administrativo.,secundariacompleta,40.9,22.3
PEREIRA A.M.,P. Administrativo.,superiorincompleta,26.6,52.2
PEREIRA A.M.,P. Administrativo.,superiorcompleta,11.1,15.9
PEREIRA A.M.,Profesionales y tecnicos,noinforma,0,0
PEREIRA A.M.,Profesionales y tecnicos,ninguno,0,0
PEREIRA A.M.,Profesionales y tecnicos,primariaincompleta,0,0
PEREIRA A.M.,Profesionales y tecnicos,primariacompleta,1.3,0
PEREIRA A.M.,Profesionales y tecnicos,secundariaincompleta,1.4,0.6
PEREIRA A.M.,Profesionales y tecnicos,secundariacompleta,4,4.9
PEREIRA A.M.,Profesionales y tecnicos,superiorincompleta,31.6,20.2
PEREIRA A.M.,Profesionales y tecnicos,superiorcompleta,61.8,74.3
PEREIRA A.M.,Trab Agropecuarios y forestales,noinforma,0,0
PEREIRA A.M.,Trab Agropecuarios y forestales,ninguno,3,0
PEREIRA A.M.,Trab Agropecuarios y forestales,primariaincompleta,23.3,30.9
PEREIRA A.M.,Trab Agropecuarios y forestales,primariacompleta,19,24.2
PEREIRA A.M.,Trab Agropecuarios y forestales,secundariaincompleta,31,0
PEREIRA A.M.,Trab Agropecuarios y forestales,secundariacompleta,14.6,22.3
PEREIRA A.M.,Trab Agropecuarios y forestales,superiorincompleta,0,22.3
PEREIRA A.M.,Trab Agropecuarios y forestales,superiorcompleta,9.1,0
PEREIRA A.M.,Trab de los servicios,noinforma,0,0
PEREIRA A.M.,Trab de los servicios,ninguno,0,1.4
PEREIRA A.M.,Trab de los servicios,primariaincompleta,7.1,14.8
PEREIRA A.M.,Trab de los servicios,primariacompleta,10.4,18.4
PEREIRA A.M.,Trab de los servicios,secundariaincompleta,19.2,28.3
PEREIRA A.M.,Trab de los servicios,secundariacompleta,41.2,23
PEREIRA A.M.,Trab de los servicios,superiorincompleta,19.5,12.7
PEREIRA A.M.,Trab de los servicios,superiorcompleta,2.7,1.4
PEREIRA A.M.,Trab/operad no agricolas,noinforma,0,0
PEREIRA A.M.,Trab/operad no agricolas,ninguno,3.5,2.2
PEREIRA A.M.,Trab/operad no agricolas,primariaincompleta,11.4,8.4
PEREIRA A.M.,Trab/operad no agricolas,primariacompleta,14,15.9
PEREIRA A.M.,Trab/operad no agricolas,secundariaincompleta,24.9,21
PEREIRA A.M.,Trab/operad no agricolas,secundariacompleta,38,41.8
PEREIRA A.M.,Trab/operad no agricolas,superiorincompleta,7.2,8.7
PEREIRA A.M.,Trab/operad no agricolas,superiorcompleta,1,1.8
VILLAVICENCIO,Comerciantes y vendedores,noinforma,0,0
VILLAVICENCIO,Comerciantes y vendedores,ninguno,2.8,1.7
VILLAVICENCIO,Comerciantes y vendedores,primariaincompleta,12,9.3
VILLAVICENCIO,Comerciantes y vendedores,primariacompleta,14.1,14.5
VILLAVICENCIO,Comerciantes y vendedores,secundariaincompleta,13.9,17.4
VILLAVICENCIO,Comerciantes y vendedores,secundariacompleta,42,42.4
VILLAVICENCIO,Comerciantes y vendedores,superiorincompleta,9.7,10.2
VILLAVICENCIO,Comerciantes y vendedores,superiorcompleta,5.5,4.5
VILLAVICENCIO,Dir/func Publicos superiores,noinforma,0,0
VILLAVICENCIO,Dir/func Publicos superiores,ninguno,0,0
VILLAVICENCIO,Dir/func Publicos superiores,primariaincompleta,0,0
VILLAVICENCIO,Dir/func Publicos superiores,primariacompleta,3.5,0
VILLAVICENCIO,Dir/func Publicos superiores,secundariaincompleta,1.9,0
VILLAVICENCIO,Dir/func Publicos superiores,secundariacompleta,24.1,16.6
VILLAVICENCIO,Dir/func Publicos superiores,superiorincompleta,16.7,16
VILLAVICENCIO,Dir/func Publicos superiores,superiorcompleta,53.8,67.3
VILLAVICENCIO,No informa,noinforma,0,0
VILLAVICENCIO,No informa,ninguno,0,0
VILLAVICENCIO,No informa,primariaincompleta,3.5,0
VILLAVICENCIO,No informa,primariacompleta,27.8,33.3
VILLAVICENCIO,No informa,secundariaincompleta,35.2,66.7
VILLAVICENCIO,No informa,secundariacompleta,27,0
VILLAVICENCIO,No informa,superiorincompleta,3.4,0
VILLAVICENCIO,No informa,superiorcompleta,3.1,0
VILLAVICENCIO,P. Administrativo.,noinforma,0,0
VILLAVICENCIO,P. Administrativo.,ninguno,0,0
VILLAVICENCIO,P. Administrativo.,primariaincompleta,1.2,0.7
VILLAVICENCIO,P. Administrativo.,primariacompleta,5.3,1.5
VILLAVICENCIO,P. Administrativo.,secundariaincompleta,10.1,4.6
VILLAVICENCIO,P. Administrativo.,secundariacompleta,42.8,47.2
VILLAVICENCIO,P. Administrativo.,superiorincompleta,22.1,27.1
VILLAVICENCIO,P. Administrativo.,superiorcompleta,18.5,18.9
VILLAVICENCIO,Profesionales y tecnicos,noinforma,0,0
VILLAVICENCIO,Profesionales y tecnicos,ninguno,0,0
VILLAVICENCIO,Profesionales y tecnicos,primariaincompleta,0.3,0
VILLAVICENCIO,Profesionales y tecnicos,primariacompleta,0.4,0
VILLAVICENCIO,Profesionales y tecnicos,secundariaincompleta,1.6,1.1
VILLAVICENCIO,Profesionales y tecnicos,secundariacompleta,13,9.1
VILLAVICENCIO,Profesionales y tecnicos,superiorincompleta,24.1,13
VILLAVICENCIO,Profesionales y tecnicos,superiorcompleta,60.5,76.8
VILLAVICENCIO,Trab Agropecuarios y forestales,noinforma,0,0
VILLAVICENCIO,Trab Agropecuarios y forestales,ninguno,0,0
VILLAVICENCIO,Trab Agropecuarios y forestales,primariaincompleta,37.1,0
VILLAVICENCIO,Trab Agropecuarios y forestales,primariacompleta,17.1,0
VILLAVICENCIO,Trab Agropecuarios y forestales,secundariaincompleta,22.9,30.5
VILLAVICENCIO,Trab Agropecuarios y forestales,secundariacompleta,14.5,29.4
