ocupacion,Hombres,Mujeres,total
Comerciantes y vendedores,908388,1074150,1982538
Dir/func Publicos superiores,210344,140660,351004
No informa,70771,13628,84399
P. Administrativo.,540032,758118,1298150
Profesionales y tecnicos,819636,652432,1472068
Trab Agropecuarios y forestales,66539,12728,79267
Trab de los servicios,708063,1582639,2290702
Trab/operad no agricolas,2285749,578883,2864632
