Pais,Loc,Cuenta
SIRIA,(34.802075, 38.996815),3
SRI LANKA,(7.873054, 80.771797),2
ST. MAARTEN,(0, 0),63
SUAZILANDIA,(-26.522503, 31.465866),2
SUDAFRICA,(-30.559482, 22.937506),87
SUDAN,(12.862807, 30.217636),3
SUECIA,(60.128161, 18.643501),1278
SUIZA,(46.818188, 8.227512),4183
SURINAM,(3.919305, -56.027783),27
TAILANDIA,(15.870032, 100.992541),248
TANZANIA,-1,1
TRINIDAD Y TOBAGO,(10.691803, -61.222503),264
TUNEZ,(33.886917, 9.537499),14
TURKMENISTAN,(38.969719, 59.556278),1
TURQUIA,(38.963745, 35.243322),109
UCRANIA,(48.379433, 31.16558),21
UGANDA,(1.373333, 32.290275),4
URUGUAY,(-32.522779, -55.765835),429
VENEZUELA,(6.42375, -66.58973),95011
VIET NAM,(14.058324, 108.277199),117
YEMEN,(15.552727, 48.516388),2
ZAMBIA,(-13.133897, 27.849332),1
